"CODE","NAME","YEAR","ANTIGEN","ANTIGEN_DESCRIPTION","COVERAGE"
"MDG","Madagascar",2022,"MCV1","Measles-containing vaccine, 1st dose",44
"MWI","Malawi",2022,"MCV1","Measles-containing vaccine, 1st dose",82
"MWI","Malawi",2022,"MCV2","Measles-containing vaccine, 2nd dose",60
"MYS","Malaysia",2022,"MCV2","Measles-containing vaccine, 2nd dose",96
"MYS","Malaysia",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"MDV","Maldives",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"MDV","Maldives",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"MLI","Mali",2022,"MCV1","Measles-containing vaccine, 1st dose",70
"MLI","Mali",2022,"MCV2","Measles-containing vaccine, 2nd dose",44
"MLT","Malta",2022,"MCV2","Measles-containing vaccine, 2nd dose",95
"MLT","Malta",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"MHL","Marshall Islands",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"MHL","Marshall Islands",2022,"MCV2","Measles-containing vaccine, 2nd dose",54
"MRT","Mauritania",2022,"MCV1","Measles-containing vaccine, 1st dose",72
"MRT","Mauritania",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"MUS","Mauritius",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"MUS","Mauritius",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"MEX","Mexico",2022,"MCV2","Measles-containing vaccine, 2nd dose",82
"MEX","Mexico",2022,"MCV1","Measles-containing vaccine, 1st dose",86
"FSM","Micronesia (Federated States of)",2022,"MCV1","Measles-containing vaccine, 1st dose",69
"FSM","Micronesia (Federated States of)",2022,"MCV2","Measles-containing vaccine, 2nd dose",38
"MCO","Monaco",2022,"MCV2","Measles-containing vaccine, 2nd dose",80
"MCO","Monaco",2022,"MCV1","Measles-containing vaccine, 1st dose",88
"MNG","Mongolia",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"MNG","Mongolia",2022,"MCV1","Measles-containing vaccine, 1st dose",94
"MNE","Montenegro",2022,"MCV2","Measles-containing vaccine, 2nd dose",70
"MNE","Montenegro",2022,"MCV1","Measles-containing vaccine, 1st dose",33
"MAR","Morocco",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"MAR","Morocco",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"MOZ","Mozambique",2022,"MCV1","Measles-containing vaccine, 1st dose",84
"MOZ","Mozambique",2022,"MCV2","Measles-containing vaccine, 2nd dose",70
"MMR","Myanmar",2022,"MCV1","Measles-containing vaccine, 1st dose",75
"MMR","Myanmar",2022,"MCV2","Measles-containing vaccine, 2nd dose",64
"NAM","Namibia",2022,"MCV1","Measles-containing vaccine, 1st dose",91
"NAM","Namibia",2022,"MCV2","Measles-containing vaccine, 2nd dose",79
"NRU","Nauru",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"NRU","Nauru",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"NPL","Nepal",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"NPL","Nepal",2022,"MCV2","Measles-containing vaccine, 2nd dose",87
"NLD","Netherlands (Kingdom of the)",2022,"MCV1","Measles-containing vaccine, 1st dose",89
"NLD","Netherlands (Kingdom of the)",2022,"MCV2","Measles-containing vaccine, 2nd dose",85
"NZL","New Zealand",2022,"MCV2","Measles-containing vaccine, 2nd dose",83
"NZL","New Zealand",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"NIC","Nicaragua",2022,"MCV1","Measles-containing vaccine, 1st dose",93
"NIC","Nicaragua",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"NER","Niger",2022,"MCV1","Measles-containing vaccine, 1st dose",65
"NER","Niger",2022,"MCV2","Measles-containing vaccine, 2nd dose",42
"NGA","Nigeria",2022,"MCV1","Measles-containing vaccine, 1st dose",60
"NGA","Nigeria",2022,"MCV2","Measles-containing vaccine, 2nd dose",38
"NIU","Niue",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"NIU","Niue",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"MKD","North Macedonia",2022,"MCV1","Measles-containing vaccine, 1st dose",71
"MKD","North Macedonia",2022,"MCV2","Measles-containing vaccine, 2nd dose",89
"NOR","Norway",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"NOR","Norway",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"PSE","occupied Palestinian territory, including east Jerusalem",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"PSE","occupied Palestinian territory, including east Jerusalem",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"OMN","Oman",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"OMN","Oman",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"PAK","Pakistan",2022,"MCV1","Measles-containing vaccine, 1st dose",82
"PAK","Pakistan",2022,"MCV2","Measles-containing vaccine, 2nd dose",79
"PLW","Palau",2022,"MCV2","Measles-containing vaccine, 2nd dose",85
"PLW","Palau",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"PAN","Panama",2022,"MCV2","Measles-containing vaccine, 2nd dose",75
"PAN","Panama",2022,"MCV1","Measles-containing vaccine, 1st dose",92
"PNG","Papua New Guinea",2022,"MCV1","Measles-containing vaccine, 1st dose",44
"PNG","Papua New Guinea",2022,"MCV2","Measles-containing vaccine, 2nd dose",25
"PRY","Paraguay",2022,"MCV1","Measles-containing vaccine, 1st dose",54
"PRY","Paraguay",2022,"MCV2","Measles-containing vaccine, 2nd dose",53
"PER","Peru",2022,"MCV2","Measles-containing vaccine, 2nd dose",54
"PER","Peru",2022,"MCV1","Measles-containing vaccine, 1st dose",74
"PHL","Philippines",2022,"MCV1","Measles-containing vaccine, 1st dose",69
"PHL","Philippines",2022,"MCV2","Measles-containing vaccine, 2nd dose",64
"POL","Poland",2022,"MCV1","Measles-containing vaccine, 1st dose",71
"POL","Poland",2022,"MCV2","Measles-containing vaccine, 2nd dose",95
"PRT","Portugal",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"PRT","Portugal",2022,"MCV2","Measles-containing vaccine, 2nd dose",96
"QAT","Qatar",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"QAT","Qatar",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"KOR","Republic of Korea",2022,"MCV2","Measles-containing vaccine, 2nd dose",95
"KOR","Republic of Korea",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"MDA","Republic of Moldova",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"MDA","Republic of Moldova",2022,"MCV1","Measles-containing vaccine, 1st dose",84
"ROU","Romania",2022,"MCV2","Measles-containing vaccine, 2nd dose",71
"ROU","Romania",2022,"MCV1","Measles-containing vaccine, 1st dose",83
"RUS","Russian Federation",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"RUS","Russian Federation",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"RWA","Rwanda",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"RWA","Rwanda",2022,"MCV2","Measles-containing vaccine, 2nd dose",82
"KNA","Saint Kitts and Nevis",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"KNA","Saint Kitts and Nevis",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"LCA","Saint Lucia",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"LCA","Saint Lucia",2022,"MCV2","Measles-containing vaccine, 2nd dose",63
"VCT","Saint Vincent and the Grenadines",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"VCT","Saint Vincent and the Grenadines",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"WSM","Samoa",2022,"MCV1","Measles-containing vaccine, 1st dose",82
"WSM","Samoa",2022,"MCV2","Measles-containing vaccine, 2nd dose",45
"SMR","San Marino",2022,"MCV2","Measles-containing vaccine, 2nd dose",85
"SMR","San Marino",2022,"MCV1","Measles-containing vaccine, 1st dose",91
"STP","Sao Tome and Principe",2022,"MCV1","Measles-containing vaccine, 1st dose",77
"STP","Sao Tome and Principe",2022,"MCV2","Measles-containing vaccine, 2nd dose",69
"SAU","Saudi Arabia",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"SAU","Saudi Arabia",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"SEN","Senegal",2022,"MCV2","Measles-containing vaccine, 2nd dose",66
"SEN","Senegal",2022,"MCV1","Measles-containing vaccine, 1st dose",80
"SRB","Serbia",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"SRB","Serbia",2022,"MCV2","Measles-containing vaccine, 2nd dose",89
"SYC","Seychelles",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"SYC","Seychelles",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"SLE","Sierra Leone",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"SLE","Sierra Leone",2022,"MCV2","Measles-containing vaccine, 2nd dose",73
"SGP","Singapore",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"SGP","Singapore",2022,"MCV2","Measles-containing vaccine, 2nd dose",92
"SVK","Slovakia",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"SVK","Slovakia",2022,"MCV2","Measles-containing vaccine, 2nd dose",96
"SVN","Slovenia",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"SVN","Slovenia",2022,"MCV2","Measles-containing vaccine, 2nd dose",92
"SLB","Solomon Islands",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"SLB","Solomon Islands",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"SOM","Somalia",2022,"MCV1","Measles-containing vaccine, 1st dose",46
"SOM","Somalia",2022,"MCV2","Measles-containing vaccine, 2nd dose",8
"ZAF","South Africa",2022,"MCV2","Measles-containing vaccine, 2nd dose",87
"ZAF","South Africa",2022,"MCV1","Measles-containing vaccine, 1st dose",86
"SSD","South Sudan",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"SSD","South Sudan",2022,"MCV1","Measles-containing vaccine, 1st dose",72
"ESP","Spain",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"ESP","Spain",2022,"MCV2","Measles-containing vaccine, 2nd dose",92
"LKA","Sri Lanka",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"LKA","Sri Lanka",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"SDN","Sudan",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"SDN","Sudan",2022,"MCV2","Measles-containing vaccine, 2nd dose",63
"SUR","Suriname",2022,"MCV1","Measles-containing vaccine, 1st dose",74
"SUR","Suriname",2022,"MCV2","Measles-containing vaccine, 2nd dose",51
"SWE","Sweden",2022,"MCV1","Measles-containing vaccine, 1st dose",92
"SWE","Sweden",2022,"MCV2","Measles-containing vaccine, 2nd dose",91
"CHE","Switzerland",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"CHE","Switzerland",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"SYR","Syrian Arab Republic",2022,"MCV2","Measles-containing vaccine, 2nd dose",38
"SYR","Syrian Arab Republic",2022,"MCV1","Measles-containing vaccine, 1st dose",41
"TJK","Tajikistan",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"TJK","Tajikistan",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"THA","Thailand",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"THA","Thailand",2022,"MCV2","Measles-containing vaccine, 2nd dose",87
"TLS","Timor-Leste",2022,"MCV2","Measles-containing vaccine, 2nd dose",78
"TLS","Timor-Leste",2022,"MCV1","Measles-containing vaccine, 1st dose",79
"TGO","Togo",2022,"MCV1","Measles-containing vaccine, 1st dose",71
"TGO","Togo",2022,"MCV2","Measles-containing vaccine, 2nd dose",57
